"id","stid","e5","e10","diesel","date","changed","id-2","version","version_time","name","brand","street","house_number","post_code","place","public_holiday_identifier","lat","lng","price_in_import","price_changed","open_ts","ot_json","station_in_import","first_active"
111803835,"0b49934c-1119-424a-b833-aba72e465c8e",1539,1519,1379,"2018-05-11 20:00:07+00",21,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111801968,"5602e10f-d0d6-41fe-a41c-eea4e9da7a1e",1539,1519,1379,"2018-05-11 19:57:06+00",21,"5602e10f-d0d6-41fe-a41c-eea4e9da7a1e","1","2015-04-01 13:23:05","TOTAL GAGGENAU","TOTAL","MURGTALSTR.","89","76571","GAGGENAU",NULL,"48.810307","8.310143","2019-06-30 15:10:06+00","2019-06-30 14:52:14+00",1561924800,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111805950,"0b49934c-1119-424a-b833-aba72e465c8e",1539,1499,1379,"2018-05-11 20:16:06+00",16,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111805705,"56cdf2d6-26cc-46e4-ac30-1df4b3e0d023",1539,1519,1379,"2018-05-11 20:14:06+00",21,"56cdf2d6-26cc-46e4-ac30-1df4b3e0d023","4","2019-06-28 12:34:10","AVIA Gaggenau","AVIA","Hauptstr. ","40","76571","Gaggenau",NULL,"48.7989","8.32335","2019-06-30 15:10:06+00","2019-06-30 15:06:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111834912,"0b49934c-1119-424a-b833-aba72e465c8e",1539,1499,1349,"2018-05-12 06:15:07+00",1,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111807236,"0b49934c-1119-424a-b833-aba72e465c8e",1529,1489,1359,"2018-05-11 20:59:06+00",21,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111831913,"5602e10f-d0d6-41fe-a41c-eea4e9da7a1e",1519,1499,1339,"2018-05-12 05:57:16+00",21,"5602e10f-d0d6-41fe-a41c-eea4e9da7a1e","1","2015-04-01 13:23:05","TOTAL GAGGENAU","TOTAL","MURGTALSTR.","89","76571","GAGGENAU",NULL,"48.810307","8.310143","2019-06-30 15:10:06+00","2019-06-30 14:52:14+00",1561924800,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111813150,"0b49934c-1119-424a-b833-aba72e465c8e",1539,1519,1379,"2018-05-12 04:00:07+00",21,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111826904,"0b49934c-1119-424a-b833-aba72e465c8e",1539,1499,1379,"2018-05-12 05:32:06+00",16,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111834737,"56cdf2d6-26cc-46e4-ac30-1df4b3e0d023",1519,1499,1339,"2018-05-12 06:14:07+00",21,"56cdf2d6-26cc-46e4-ac30-1df4b3e0d023","4","2019-06-28 12:34:10","AVIA Gaggenau","AVIA","Hauptstr. ","40","76571","Gaggenau",NULL,"48.7989","8.32335","2019-06-30 15:10:06+00","2019-06-30 15:06:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111841188,"0b49934c-1119-424a-b833-aba72e465c8e",1519,1479,1349,"2018-05-12 06:38:07+00",20,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111860998,"0b49934c-1119-424a-b833-aba72e465c8e",1519,1479,1319,"2018-05-12 08:15:07+00",1,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111857846,"5602e10f-d0d6-41fe-a41c-eea4e9da7a1e",1479,1459,1309,"2018-05-12 07:57:06+00",21,"5602e10f-d0d6-41fe-a41c-eea4e9da7a1e","1","2015-04-01 13:23:05","TOTAL GAGGENAU","TOTAL","MURGTALSTR.","89","76571","GAGGENAU",NULL,"48.810307","8.310143","2019-06-30 15:10:06+00","2019-06-30 14:52:14+00",1561924800,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111859932,"56cdf2d6-26cc-46e4-ac30-1df4b3e0d023",1479,1459,1309,"2018-05-12 08:11:06+00",21,"56cdf2d6-26cc-46e4-ac30-1df4b3e0d023","4","2019-06-28 12:34:10","AVIA Gaggenau","AVIA","Hauptstr. ","40","76571","Gaggenau",NULL,"48.7989","8.32335","2019-06-30 15:10:06+00","2019-06-30 15:06:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111853788,"0b49934c-1119-424a-b833-aba72e465c8e",1519,1479,1339,"2018-05-12 07:37:06+00",1,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111881285,"5602e10f-d0d6-41fe-a41c-eea4e9da7a1e",1539,1519,1369,"2018-05-12 10:17:06+00",21,"5602e10f-d0d6-41fe-a41c-eea4e9da7a1e","1","2015-04-01 13:23:05","TOTAL GAGGENAU","TOTAL","MURGTALSTR.","89","76571","GAGGENAU",NULL,"48.810307","8.310143","2019-06-30 15:10:06+00","2019-06-30 14:52:14+00",1561924800,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111863405,"0b49934c-1119-424a-b833-aba72e465c8e",1499,1459,1319,"2018-05-12 08:29:06+00",20,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111867361,"0b49934c-1119-424a-b833-aba72e465c8e",1479,1439,1319,"2018-05-12 08:56:06+00",20,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111878013,"0b49934c-1119-424a-b833-aba72e465c8e",1539,1499,1379,"2018-05-12 10:00:07+00",21,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
111879356,"0b49934c-1119-424a-b833-aba72e465c8e",1539,1499,1369,"2018-05-12 10:05:06+00",1,"0b49934c-1119-424a-b833-aba72e465c8e","1","2013-07-31 22:00:00","GAGGENAU, WALDSTR","Shell","WALDSTR. 31A","","76571","GAGGENAU",NULL,"48.80103","8.310985","2019-06-30 15:10:06+00","2019-06-30 14:17:06+00",1,"{}","2019-06-29 22:00:35+00","2014-03-18 15:45:31+00"
